number,title
0,Jaws
1,The Rocky Horror Picture Show
2,One Flew Over the Cuckoo's Nest
3,Dog Day Afternoon
4,Shampoo
5,The Return of the Pink Panther
6,Funny Lady
7,The Apple Dumpling Gang
8,Tommy
9,Three Days of the Condor
10,Lucky Lady
11,The Great Waldo Pepper
12,Love and Death
13,Escape to Witch Mountain
14,Once Is Not Enough
15,The Eiger Sanction
16,French Connection II
17,The Smurfs and the Magic Flute
18,"Give 'em Hell, Harry!"
19,Nashville
20,Bug
21,Monty Python and the Holy Grail
22,Framed
23,At Long Last Love
24,The Passenger
25,The Giant Spider Invasion
26,Picnic at Hanging Rock
27,Switchblade Sisters
28,Grey Gardens
29,Mirror
30,That Most Important Thing: Love
31,Seven Beauties
32,Fox and His Friends
33,Mother Kusters Goes to Heaven
34,The Story of Adele H
35,"Salò, or the 120 Days of Sodom"
36,Barry Lyndon
37,Supervixens
38,Night Moves
39,Rollerball
40,Death Race 2000
41,"Jeanne Dielman, 23, quai du Commerce, 1080 Bruxelles"
42,The Stepford Wives
43,Ilsa: She Wolf of the SS
44,The Man Who Would Be King
45,Shivers
46,The Beast
47,Deep Red
48,Mandingo
49,Rooster Cogburn
50,Bite the Bullet
51,A Boy and His Dog
52,A Woman for All Men
53,The Story of O
54,Breakheart Pass
55,Hard Times
56,Posse
57,Inserts
58,Strip Nude for Your Killer
59,The Four of the Apocalypse...
60,"Farewell, My Lovely"
61,That Malicious Age
62,The Sensuous Nurse
63,Black Emanuelle
64,The Wind and the Lion
65,Out of Season
66,The Killer Elite
67,The Drowning Pool
68,Brannigan
69,Friday Foster
70,Countess Perverse
71,Race with the Devil
72,Sholay
73,Dersu Uzala
74,Lisztomania
75,The Other Side of the Mountain
76,Tarzoon: Shame of the Jungle
77,Cooley High
78,The Day of the Locust
79,Black Moon
80,The Devil's Rain
81,"So Young, So Lovely, So Vicious..."
82,Rosebud
83,End of the Game
84,Smile
85,Playing with Fire
86,The Family Vice
87,Lips of Blood
88,Rancho Deluxe
89,The Pinchcliffe Grand Prix
90,Capone
91,La Collegiale
92,Carry on Behind
93,Snuff
94,The Reincarnation of Peter Proud
95,The Chaos Class
96,Dolemite
97,Linda Lovelace for President
98,Emmanuelle II
99,Let's Do It Again
100,"A Genius, Two Partners and a Dupe"
101,Delinquent School Girls
102,Mahogany
103,Winterhawk
104,The Adventures of the Wilderness Family
105,Zorro
106,Breakout
107,Terror of Mechagodzilla
108,The Magic Flute
109,The Sunshine Boys
110,The Adventure of Sherlock Holmes' Smarter Brother
111,The Strongest Man in the World
112,The School Teacher
113,White Line Fever
114,The Man from Hong Kong
115,The Hindenburg
116,Hustle
117,The Hiding Place
118,Last Stop on the Night Train
119,Summer School Teachers
120,Violated!
121,The Old Gun
122,Confessions of a Pop Performer
123,Hester Street
124,Wrong Move
125,Katie Tippel
126,"'Sheba, Baby'"
127,The Swinging Barmaids
128,Strange Love of the Vampires
129,Bucktown
130,W.W. and the Dixie Dancekings
131,Valentina ...The Virgin Wife
132,Bullet Train
133,The Fortune
134,The Happy Hooker
135,Eyeball
136,One of Our Dinosaurs Is Missing
137,Eskimo Nell
138,Leave Us Alone
139,Emanuelle and Francoise
140,Manila in the Claws of Light
141,Peeper
142,Doc Savage: The Man of Bronze
143,Return to Macon County
144,Operation Daybreak
145,Conduct Unbecoming
146,The Night Caller
147,Crazy Mama
148,Night of the Seagulls
149,The Romantic Englishwoman
150,Footprints on the Moon
151,The Prisoner of Second Avenue
152,The Ultimate Warrior
153,The Sweet Aunts
154,The Man in the Glass Booth
155,Amici miei
156,The Travelling Players
157,Report to the Commissioner
158,"My Nights with Susan, Olga, Albert, Julie, Piet & Sandra"
159,The Teasers
160,The Lost Honor of Katharina Blum
161,Darker Than Night
162,Blazing Stewardesses
163,Laura's Toys
164,The Wilby Conspiracy
165,Dr. Minx
166,Mitchell
167,Sharon's Baby
168,Royal Flash
169,The Girl from Starship Venus
170,Aloha Bobby and Rose
171,Foreplay
172,L'assassino è costretto ad uccidere ancora
173,Loaded Guns
174,Adam and Nicole
175,A Dragonfly for Each Corpse
176,Dirty Hands
177,The Killer is Not Alone
178,Satanico Pandemonium
179,The Private Lesson
180,Fantozzi
181,Abigail Lesley Is Back in Town
182,The Amusement Park
183,The Bloodsucker Leads the Dance
184,The Immoral Three
185,Psychic Killer
186,"Cornbread, Earl and Me"
187,Dharmatma
188,Satan's Children
189,The Sex Machine
190,Scobie Malone
191,The Return of the Exorcist
192,The Ghoul
193,Julie
194,The Sunday Woman
195,"Mary, Mary, Bloody Mary"
196,Take a Hard Ride
197,Deadly Strangers
198,Yatak Hikayemiz
199,92 in the Shade
200,Hearts of the West
201,Oryu's Passion: Bondage Skin
202,Bloodbath
203,Best Friends
204,Reflections in Black
205,Poachers
206,Autopsy
207,Penelope Pulls It Off
208,Psycho from Texas
209,Syndicate Sadists
210,Ägget är löst! En hårdkokt saga
211,The Humpbacked Horse
212,Overlord
213,Moonrunners
214,Part 2: Walking Tall
215,Cookies
216,Deewaar
217,"Bad, Black and Beautiful"
218,That Lucky Touch
219,Waves of Lust
220,Nazareno Cruz and the Wolf
221,The House of Exorcism
222,The Divine Nymph
223,Le gitan
224,Saturday Night at the Baths
225,Frozen Scream
226,The Premonition
227,Dracula in the Provinces
228,L'éventreur de Notre-Dame
229,Love Under the Elms
230,If You Don't Stop It... You'll Go Blind!!!
231,Let Joy Reign Supreme
232,"Cousin, Cousine"
233,Jessi's Girls
234,The Adolescents
235,Juego de amor prohibido
236,Criminally Insane
237,The Promised Land
238,My Mother's Friend
239,French Blue
240,Trip with the Teacher
241,Infra-Man
242,A Woman Possessed
243,Alfie Darling
244,Pick-up
245,The Amorous Milkman
246,The Girls of the Golden Saloon
247,Against a Crooked Sky
248,Women Behind Bars
249,Flic Story
250,School of Death
251,Hot Sex in Bangkok
252,They Fought for Their Country
253,Sheila Levine Is Dead and Living in New York
254,Daguerreotypes
255,Varsity Playthings
256,Cleopatra Jones and the Casino of Gold
257,Blue Jeans
258,Down Town
259,The Flying Guillotine
260,L'uomo che sfidò l'organizzazione
261,Sunburst
262,The Wild Party
263,Scandal in the Family
264,The Flesh of the Orchid
265,Africa Express
266,Che botte ragazzi!
267,Catherine & Co.
268,Special Section
269,Hustruer
270,Aandhi
271,The Black Gestapo
272,Hennessy
273,My Pleasure Is My Business
274,Demon Witch Child
275,The Black Bird
276,Exorcism
277,Black Magic
278,The Ups and Downs of a Handyman
279,Deadly Hero
280,The Story of Sin
281,Tickled Pink
282,The Astrologer
283,Garden of Beauty
284,The Removalists
285,The Executioner
286,Intimate Relations
287,13 Steps of Maki: The Young Aristocrats
288,L'arbre de Guernica
289,Wanted: Babysitter
290,The Little Mermaid
291,The 'Human' Factor
292,Ein echter Hausfrauenfreund
293,The Suspicious Death of a Minor
294,That's the Way of the World
295,Heißer Mund auf feuchten Lippen
296,How to Kill a Judge
297,Rafferty and the Gold Dust Twins
298,Incorrigible
299,The Novice
300,Cover Girl Models
301,A Virgin for St. Tropez
302,Pleasure Party
303,Man Friday
304,Lifespan
305,Australia After Dark
306,Emilienne & Nicole
307,Trucker's Woman
308,The Police Are Blundering in the Dark
309,Bellas de noche
310,Grounded God
311,Kidnap Syndicate
312,The Chaos Class Failed the Class
313,It Seemed Like a Good Idea at the Time
314,The Spiral Staircase
315,Lover Boy
316,Savage Man Savage Beast
317,"""Giliap"""
318,The Devil's Cross
319,La encadenada
320,Sunday Too Far Away
321,Mackintosh and T.J.
322,Fango bollente
323,Paper Tiger
324,Poor Pretty Eddie
325,The Swiss Family Robinson
326,Hard Love
327,A Woman Called Sada Abe
328,Flatfoot in Hong Kong
329,The Golden Mass
330,Kaala Sona
331,Bed Hostesses
332,The Candy Tangerine Man
333,Da jiang nan bei
334,Kiss of the Tarantula
335,Gina
336,Night of the Howling Beast
337,The Awakening of Annie
338,El vicio y la virtud
339,Galileo
340,The Maids
341,Attenti... arrivano le collegiali!
342,El llanto de la tortuga
343,The Mummy's Revenge
344,Chronicle of the Years of Fire
345,Xala
346,Abduction
347,The Battle of Chile: Part I
348,El albañil
349,Geet Gaata Chal
350,Lady Cocoa
351,Sixpack Annie
352,One Hundred Days After Childhood
353,Mr. Ricco
354,Slade in Flame
355,The Daughter of Emanuelle
356,La course à l'échalote
357,Number Two
358,Gemini Affair: A Diary
359,Mondo Magic
360,Street Girls
361,Marco Polo
362,Zakhmee
363,Legend of the Werewolf
364,Nights and Days
365,The Climber
366,Largo retorno
367,All in the Family
368,Wenn Mädchen zum Manöver blasen
369,Death Brings Roses
370,Has Anybody Seen My Pants?
371,La polizia ha le mani legate
372,Metoikos
373,Lepke
374,Chupke Chupke
375,India Song
376,The Story of Heidi
377,Gun Moll
378,Mondo candido
379,Black Fist
380,Russian Roulette
381,Darktown Strutters
382,Graveyard of Honor
383,"La mazurka del barone, della santa e del fico fiorone"
384,Pastorale
385,The French Detective
386,The Rare Blue Apes of Cannibal Isle
387,La Faille
388,Inside Out
389,Teenage Seductress
390,La cognatina
391,Sudden Fury
392,Together Forever
393,Afonya
394,Apple Pie
395,Leonor
396,Le sauvage
397,"The White, the Yellow, and the Black"
398,The Day That Shook the World
399,Inn of the Damned
400,The Season
401,Minik Cadi
402,Rapiña
403,Aaron Loves Angela
404,The Flower in His Mouth
405,Hugo the Hippo
406,God's Bloody Acre
407,Sensualidad
408,Yuppi du
409,Kiliç Aslan
410,One Way or Another
411,Hedda
412,L'educanda
413,Sharks' Treasure
414,Askerin Dönüsü
415,Journey Into Fear
416,The Boob Tube
417,Under the Blossoming Cherry Trees
418,Get Mean
419,Silent Action
420,Welcome Home Brother Charles
421,La traque
422,Violent Rome
423,The Master Gunfighter
424,Firefly
425,Mili
426,Wolf Guy
427,Newlywed Hell
428,Evil Eye
429,Teens in the Universe
430,Chori Mera Kaam
431,Ecstasy of the Black Rose
432,Pratiggya
433,All Men Are Brothers
434,The Killing Machine
435,Baldiz
436,Apoorva Raagangal
437,Yessongs
438,Blonde in Black Leather
439,Backbone
440,The Specialist
441,Red Coat
442,Down the Ancient Stairs
443,Piger i trøjen
444,Far from Home
445,Die Kleine mit dem süßen Po
446,Zig-Zag
447,Salvo D'Acquisto
448,The Love Butcher
449,Stephen the Great - Vaslui 1475
450,Lord Shango
451,Ride a Wild Pony
452,Khushboo
453,Deli Yusuf
454,Mr. Quilp
455,Eliza's Horoscope
456,Murph the Surf
457,El caballo del diablo
458,Lies My Father Told Me
459,Xin si wang you xi
460,Dayi
461,Actorul si salbaticii
462,Cat and Mouse
463,Jana Aranya
464,Our Family
465,Amadas e Violentadas
466,Iracema - Uma Transa Amazônica
467,Diamonds
468,Adoption
469,Nishant
470,Hanzo
471,Act of Aggression
472,Velké trápení
